case_id,root,initial_phase,world,mechanics,participation,support,triggers,predicate_pass,qlp_events,source_fires,physical_work,drive_deliveries,modulatory_deliveries,local_updates,qlp_work,final_tick,pressure_phase,trace_hash,body_hash,live,quiescent
22,2500000,1,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,1,1,eb0282c52a11e7c467f0a5d55d4d0117bcd2b3348c5ca738bb4d662a3b07539b,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
23,2500000,2,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,2,2,2dc8aa066c340005177cc8888a04c4538d7967e5cc2f4c48800ecba69feaa6f2,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
23,2500000,2,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,2,2,2dc8aa066c340005177cc8888a04c4538d7967e5cc2f4c48800ecba69feaa6f2,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
24,2500000,3,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,3,3,e2451ef9febdbbbaf6c0dfe423891258f24ed3f8f8e1f08a2d1933a49104a4c9,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
24,2500000,3,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,3,3,e2451ef9febdbbbaf6c0dfe423891258f24ed3f8f8e1f08a2d1933a49104a4c9,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
25,2500000,4,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,4,4,13c34e4bfe54069b3a783bbc83346ac472bdad4cbf150dbeaa07c59bef6b0e6c,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
25,2500000,4,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,4,4,13c34e4bfe54069b3a783bbc83346ac472bdad4cbf150dbeaa07c59bef6b0e6c,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
26,2500000,5,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,5,5,99c1f78659c79d631ac7dafb7a181c2971ea3cabcf5f1281602719dc5904d537,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
26,2500000,5,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,5,5,99c1f78659c79d631ac7dafb7a181c2971ea3cabcf5f1281602719dc5904d537,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
27,2500000,6,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,6,6,aac0769848f1222e036ff56078365df227044c19cd2794f6b49c29e9720926df,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
27,2500000,6,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,6,6,aac0769848f1222e036ff56078365df227044c19cd2794f6b49c29e9720926df,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
28,2500000,7,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,7,7,1f1e25505432bc3589e6ffae1decb9ce6a8ccab3f6ebc3899ff67508bd11b8b6,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
28,2500000,7,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,7,7,1f1e25505432bc3589e6ffae1decb9ce6a8ccab3f6ebc3899ff67508bd11b8b6,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
29,2500000,8,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,8,8,4ffadf1e1408e1b44941dffa7174c17c1828a32c57bc1001456f4b684f172d5e,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
29,2500000,8,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,8,8,4ffadf1e1408e1b44941dffa7174c17c1828a32c57bc1001456f4b684f172d5e,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
30,2500000,9,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,9,9,72c62ed69f4fe2174d9c8b9fdbdc8074d6fad8a6e5617351d05823492c4bd06c,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
30,2500000,9,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,9,9,72c62ed69f4fe2174d9c8b9fdbdc8074d6fad8a6e5617351d05823492c4bd06c,b11e6945d7fe6879284074d6c59aad8f2a8425bcd4887c45769dbe926d0fe952,1,1
31,2600000,0,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,0,0,f18a7f172809a7eacaffff21ed16f10163b43f69925f3767a14a698a60851a8f,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
31,2600000,0,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,0,0,f18a7f172809a7eacaffff21ed16f10163b43f69925f3767a14a698a60851a8f,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
32,2600000,1,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,1,1,eb0282c52a11e7c467f0a5d55d4d0117bcd2b3348c5ca738bb4d662a3b07539b,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
32,2600000,1,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,1,1,eb0282c52a11e7c467f0a5d55d4d0117bcd2b3348c5ca738bb4d662a3b07539b,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
33,2600000,2,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,2,2,2dc8aa066c340005177cc8888a04c4538d7967e5cc2f4c48800ecba69feaa6f2,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
33,2600000,2,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,2,2,2dc8aa066c340005177cc8888a04c4538d7967e5cc2f4c48800ecba69feaa6f2,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
34,2600000,3,never_participated,reference,0|0,0|0,qualified,1,0,1,2,1,1,0,0,3,3,e2451ef9febdbbbaf6c0dfe423891258f24ed3f8f8e1f08a2d1933a49104a4c9,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
34,2600000,3,never_participated,production,0|0,0|0,qualified,1,0,1,2,1,1,0,0,3,3,e2451ef9febdbbbaf6c0dfe423891258f24ed3f8f8e1f08a2d1933a49104a4c9,e642ff07a8e125f7fa8b6e9063a134d5cb1280be190d3f9993cb5478b6d36fdf,1,1
