case_id,root,initial_phase,scenario,mechanics,a_updates,b_updates,a_initial_resistance,a_final_resistance,a_initial_coupling,a_final_coupling,a_live,b_initial_resistance,b_final_resistance,b_initial_coupling,b_final_coupling,b_live,drive_deliveries,modulatory_deliveries,fires,eligible,resistance_events,proposals,deallocations,crossings,ca_fires,physical_work,final_tick,pressure_phase,trace_hash,body_hash,quiescent
25,1300000,2,c1_contact_b,production,0,1,4,4,1,1,1,4,7,1,2,1,6,1,4,5,1,0,0,0,1,8,2,2,38762a30a375954b0f0d41a20ab7b67f5e19d1e6e7d72912d2f8d44fa264f0d9,d50ce135c3ff893ef7a6988f06a36535e3857e69aa484b11e101928e2a9389a6,1
26,1300000,2,c2_a_not_traversed,reference,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,2,0,0,0,0,0,4,2,2,3f78fd6a8f7ce1462d8be335cde8b66d15251fe4e20d58bcc99d6d5f5cda04e7,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1
26,1300000,2,c2_a_not_traversed,production,0,0,4,4,1,1,1,4,4,1,1,1,3,1,2,2,0,0,0,0,0,4,2,2,3f78fd6a8f7ce1462d8be335cde8b66d15251fe4e20d58bcc99d6d5f5cda04e7,bf1c6d057bd4d92d9ef76ef8c44c4fe0193332305255ae78108f5c77abf1e51c,1
27,1300000,2,c3_drive_at_ca,reference,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,5,0,0,0,0,2,7,3,3,404a0c237ec529f7332883f2f4e556082a42bd50dd0b4f39e75367289e769ad5,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1
27,1300000,2,c3_drive_at_ca,production,0,0,4,4,1,1,1,4,4,1,1,1,7,0,4,5,0,0,0,0,2,7,3,3,404a0c237ec529f7332883f2f4e556082a42bd50dd0b4f39e75367289e769ad5,2dd327c5a5b82d5dfc1eeab45b6cf6c74d1e910b8aead18126e8da2fb85bb216,1
28,1300000,2,c4_late_modulation,reference,0,0,4,3,1,1,1,4,3,1,1,1,6,1,4,5,0,0,0,0,1,7,7,7,68e80f7cb3c74861af2c1c9a7ce26e3f8d5137f0b5b3d40f66dc243e663c96e9,e7a65902d75b4f15f6fd014033a754eaa271088dda2b11f8f7d2c7fa0116d9a7,1
28,1300000,2,c4_late_modulation,production,0,0,4,3,1,1,1,4,3,1,1,1,6,1,4,5,0,0,0,0,1,7,7,7,68e80f7cb3c74861af2c1c9a7ce26e3f8d5137f0b5b3d40f66dc243e663c96e9,e7a65902d75b4f15f6fd014033a754eaa271088dda2b11f8f7d2c7fa0116d9a7,1
29,1300000,2,c5_dense_distractors,reference,1,0,4,7,1,2,1,4,4,1,1,1,71,1,37,38,1,0,0,0,2,73,3,3,052a72e68d35b53dffc439fb8a790d7aaf08f591b0dcf3aae8d0b8f3aa8bcd52,424ef684bacee341c7b6c52e6b63bcdd832c81fe8e3eeaefab6291612a650687,1
29,1300000,2,c5_dense_distractors,production,1,0,4,7,1,2,1,4,4,1,1,1,71,1,37,38,1,0,0,0,2,73,3,3,052a72e68d35b53dffc439fb8a790d7aaf08f591b0dcf3aae8d0b8f3aa8bcd52,424ef684bacee341c7b6c52e6b63bcdd832c81fe8e3eeaefab6291612a650687,1
30,1300000,2,c6_swapped_identity,reference,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,2,2,5ba294b82cd8632a55563f1761d9da594aa29f9bf320285f0766ee4f7ea78a84,109765f99c9247a430403d1e4412e84d38298f876d11083932cf81b0bfdf2d7b,1
30,1300000,2,c6_swapped_identity,production,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,2,2,5ba294b82cd8632a55563f1761d9da594aa29f9bf320285f0766ee4f7ea78a84,109765f99c9247a430403d1e4412e84d38298f876d11083932cf81b0bfdf2d7b,1
31,1300000,2,c6_reverse_order,reference,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,2,2,ac15d7e9d99df3d8462aa38857175b42657f843604f7e726203f5d6b648334bb,e34a785e5ef9d2371a309e1220a011f41a4e51e6905da2501266f1f14d7e02c2,1
31,1300000,2,c6_reverse_order,production,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,2,2,ac15d7e9d99df3d8462aa38857175b42657f843604f7e726203f5d6b648334bb,e34a785e5ef9d2371a309e1220a011f41a4e51e6905da2501266f1f14d7e02c2,1
32,1300000,2,c6_timing_offset,reference,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,4,4,0081be0b3be8ebf2066a4aadcf3d48c4bc9b87ccfd01b01e751b5071f0d2f7cb,39384aba92c0f9453740aac01a80bf469d2efe75a9bdeedd98c0fc56e7c501ee,1
32,1300000,2,c6_timing_offset,production,1,0,4,7,1,2,1,4,4,1,1,1,6,1,4,5,1,0,0,0,1,8,4,4,0081be0b3be8ebf2066a4aadcf3d48c4bc9b87ccfd01b01e751b5071f0d2f7cb,39384aba92c0f9453740aac01a80bf469d2efe75a9bdeedd98c0fc56e7c501ee,1
33,1300000,2,c7_contact_fanout,reference,1,1,4,7,1,2,1,4,7,1,2,1,6,1,4,5,2,0,0,0,1,9,2,2,4719a7b00d9451d8a78451b3dc413df2666f3ff219da12e2fe37584a49a77953,18570242ab8e8800ba60b289874d7de7495e67b28b84ffbd64868b1c29056812,1
33,1300000,2,c7_contact_fanout,production,1,1,4,7,1,2,1,4,7,1,2,1,6,1,4,5,2,0,0,0,1,9,2,2,4719a7b00d9451d8a78451b3dc413df2666f3ff219da12e2fe37584a49a77953,18570242ab8e8800ba60b289874d7de7495e67b28b84ffbd64868b1c29056812,1
34,1300000,3,old_source_local,reference,1,1,4,7,1,2,1,4,7,1,2,1,4,1,2,3,2,0,0,0,1,7,3,3,581072010738e86236de7b07507d9a7f50cffcff9be1b572155f03d88f718b16,87cb30fff54b84ea1371524398dee4056b80877e29d3caf01e001d71f4ce4c86,1
