case_id,root,initial_phase,delay,mechanics,a_participation,b_participation,a_support,b_support,physical_work,final_tick,pressure_phase,trace_hash,body_hash,a_live,b_live,quiescent
34,1500000,1,11,reference,2111756800,2111756800,2111756800,0,8,12,2,859e9bb6ac906784ef7e37212587885eef16ef82be4e9adc3bd431d02866f7da,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
34,1500000,1,11,production,2111756800,2111756800,2111756800,0,8,12,2,859e9bb6ac906784ef7e37212587885eef16ef82be4e9adc3bd431d02866f7da,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
35,1500000,1,12,reference,1979772000,1979772000,1979772000,0,8,13,3,9dd26e320dd1d55b3ff8dc674c34624e5e5c4e5ca689ca377682a0438b54a781,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
35,1500000,1,12,production,1979772000,1979772000,1979772000,0,8,13,3,9dd26e320dd1d55b3ff8dc674c34624e5e5c4e5ca689ca377682a0438b54a781,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
36,1500000,1,13,reference,1856036250,1856036250,1856036250,0,8,14,4,c92a4cd06213d3ac41b765dfd3c86d3f3a13382987ef667ec8180a934d3ab7eb,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
36,1500000,1,13,production,1856036250,1856036250,1856036250,0,8,14,4,c92a4cd06213d3ac41b765dfd3c86d3f3a13382987ef667ec8180a934d3ab7eb,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
37,1500000,1,14,reference,1740033984,1740033984,1740033984,0,8,15,5,6ad23948984c0944be6242c0941f7966ee14957b38ad946ab604d73154bedc0f,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
37,1500000,1,14,production,1740033984,1740033984,1740033984,0,8,15,5,6ad23948984c0944be6242c0941f7966ee14957b38ad946ab604d73154bedc0f,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
38,1500000,1,15,reference,1631281860,1631281860,1631281860,0,8,16,6,2c21a83d1d1c682c3b8af9c3aba6dcae3ee53a0a82b6c24a0fe13523c32fa302,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
38,1500000,1,15,production,1631281860,1631281860,1631281860,0,8,16,6,2c21a83d1d1c682c3b8af9c3aba6dcae3ee53a0a82b6c24a0fe13523c32fa302,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
39,1500000,1,16,reference,1529326743,1529326743,1529326743,0,8,17,7,2619a0a37af930f79f5b5c111a4cf4c3b6bf654b18809a861a8ab6b5eb2f4125,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
39,1500000,1,16,production,1529326743,1529326743,1529326743,0,8,17,7,2619a0a37af930f79f5b5c111a4cf4c3b6bf654b18809a861a8ab6b5eb2f4125,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
40,1500000,1,17,reference,1433743821,1433743821,1433743821,0,8,18,8,d2171236c524365ea41d0dddddf5e504d12333958281fc70a92d9752c9d0e699,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
40,1500000,1,17,production,1433743821,1433743821,1433743821,0,8,18,8,d2171236c524365ea41d0dddddf5e504d12333958281fc70a92d9752c9d0e699,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
41,1500000,1,18,reference,1344134832,1344134832,1344134832,0,8,19,9,33f4bfee723d549a4cd17827e65e630d6ce4e0b7ecf3d7df09289a2c415dd2b0,eb5961176aec5836795636f82ae001f485c962c5c544794c133b1ed48bca9e47,1,1,1
41,1500000,1,18,production,1344134832,1344134832,1344134832,0,8,19,9,33f4bfee723d549a4cd17827e65e630d6ce4e0b7ecf3d7df09289a2c415dd2b0,eb5961176aec5836795636f82ae001f485c962c5c544794c133b1ed48bca9e47,1,1,1
42,1500000,1,19,reference,1260126405,1260126405,1260126405,0,8,20,0,e645176ebc257626a437ae1451bd7022b3e9383aacd7d0879d64934cc672de9e,c33bcf6244dc488c5163740b8dd6898a583db06b3a96282c689dc9f0d47b8fa9,1,1,1
42,1500000,1,19,production,1260126405,1260126405,1260126405,0,8,20,0,e645176ebc257626a437ae1451bd7022b3e9383aacd7d0879d64934cc672de9e,c33bcf6244dc488c5163740b8dd6898a583db06b3a96282c689dc9f0d47b8fa9,1,1,1
43,1500000,1,20,reference,1181368504,1181368504,1181368504,0,8,21,1,ae93816f071a2be204a3603c5078323a3658432186aa0294685002879f5d7419,c33bcf6244dc488c5163740b8dd6898a583db06b3a96282c689dc9f0d47b8fa9,1,1,1
43,1500000,1,20,production,1181368504,1181368504,1181368504,0,8,21,1,ae93816f071a2be204a3603c5078323a3658432186aa0294685002879f5d7419,c33bcf6244dc488c5163740b8dd6898a583db06b3a96282c689dc9f0d47b8fa9,1,1,1
44,1500000,1,1024,reference,0,0,0,0,7,1025,5,9d1316848432466f4bdd8535d6d206dad3bbf9ae559aedb91eaf401f39a78290,31a96f508c6a6f23ce4a752b2048c4d0b1169eb3a377068f408b7fa5efba4ad5,1,1,1
44,1500000,1,1024,production,0,0,0,0,7,1025,5,9d1316848432466f4bdd8535d6d206dad3bbf9ae559aedb91eaf401f39a78290,31a96f508c6a6f23ce4a752b2048c4d0b1169eb3a377068f408b7fa5efba4ad5,1,1,1
45,1500000,2,0,reference,4294967296,4294967296,4294967296,0,8,2,2,e6d1d1bbc56e737e6f007da30222e7ce16de2b47ad42c83ab92cf6516635b16d,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
45,1500000,2,0,production,4294967296,4294967296,4294967296,0,8,2,2,e6d1d1bbc56e737e6f007da30222e7ce16de2b47ad42c83ab92cf6516635b16d,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
46,1500000,2,1,reference,4026531840,4026531840,4026531840,0,8,3,3,41843e25646d0e6159c5af03ba5e62bf3b489989c6d33abace63906416946b26,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
46,1500000,2,1,production,4026531840,4026531840,4026531840,0,8,3,3,41843e25646d0e6159c5af03ba5e62bf3b489989c6d33abace63906416946b26,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
47,1500000,2,2,reference,3774873600,3774873600,3774873600,0,8,4,4,749031aaf0c2411e975af62028c5c673489cf30eb11000c00d8d273fde2d9614,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
47,1500000,2,2,production,3774873600,3774873600,3774873600,0,8,4,4,749031aaf0c2411e975af62028c5c673489cf30eb11000c00d8d273fde2d9614,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
48,1500000,2,3,reference,3538944000,3538944000,3538944000,0,8,5,5,28189eb835dac77a512d23b6da229382779d6f4346a6dd146bb84bface8a4650,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
48,1500000,2,3,production,3538944000,3538944000,3538944000,0,8,5,5,28189eb835dac77a512d23b6da229382779d6f4346a6dd146bb84bface8a4650,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
49,1500000,2,4,reference,3317760000,3317760000,3317760000,0,8,6,6,a5c9e10d45c473853c63f71e50c823f3dc43869008e70eb2640a7399a585d7fa,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
49,1500000,2,4,production,3317760000,3317760000,3317760000,0,8,6,6,a5c9e10d45c473853c63f71e50c823f3dc43869008e70eb2640a7399a585d7fa,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
50,1500000,2,5,reference,3110400000,3110400000,3110400000,0,8,7,7,5ad48ef6105d584195b767689c99d8b192351b5f70781b6b9dfce986af57eba4,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
50,1500000,2,5,production,3110400000,3110400000,3110400000,0,8,7,7,5ad48ef6105d584195b767689c99d8b192351b5f70781b6b9dfce986af57eba4,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
51,1500000,2,6,reference,2916000000,2916000000,2916000000,0,8,8,8,1dcf5dda6ee1680b1993137e5d3dbfe0092b30c64b52a25624dd41e83c27cd29,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
51,1500000,2,6,production,2916000000,2916000000,2916000000,0,8,8,8,1dcf5dda6ee1680b1993137e5d3dbfe0092b30c64b52a25624dd41e83c27cd29,17da02361d1d26ef9e3d12651d18bbb045d576198eb39e39bf20d3a6cb5aaea4,1,1,1
52,1500000,2,7,reference,2733750000,2733750000,2733750000,0,8,9,9,f47bd5b94ed9203801940bff8467b9eb15e1660817519036e4852dbe6208cf63,049b352df8a99c8a24f98436840406e179fdc1b4c93c8e7f83e655a9533cf5c4,1,1,1
52,1500000,2,7,production,2733750000,2733750000,2733750000,0,8,9,9,f47bd5b94ed9203801940bff8467b9eb15e1660817519036e4852dbe6208cf63,049b352df8a99c8a24f98436840406e179fdc1b4c93c8e7f83e655a9533cf5c4,1,1,1
53,1500000,2,8,reference,2562890625,2562890625,2562890625,0,8,10,0,0437e48ec0776bcdbfe490ac78a4519d413d7ef0b85f91aef4263725965089f6,b4bf1a9e312b2ec855eca58b0a6037f00660f3a945d060ee2cbbf515d98cee7a,1,1,1
