case_id,root,creation_phase,family,mechanics,points,trace_hash,physical_work,drive,modulation,updates,proposals,deallocations,qlp,final_tick,body_hash,quiescent,equivalent_future,replay_equal,mechanics_equal,predicate_pass
23,4700000,3,repeated_use_no_consequence,reference,initial@0/3:1/1/0/0/0/1;age_9@9/12:1/1/9/12571524225/0/1;death@10/13:0/0/0/0/0/0,cdffb41896b5e73154e06cf688447c90126056b93b8c3940134d41b706634e4a,9,8,0,0,0,1,0,13,9f4d43bad92103a1a10c7950ad6eb808a2bcff245cce49ff0d2092f10a50818e,1,1,1,1,1
23,4700000,3,repeated_use_no_consequence,production,initial@0/3:1/1/0/0/0/1;age_9@9/12:1/1/9/12571524225/0/1;death@10/13:0/0/0/0/0/0,cdffb41896b5e73154e06cf688447c90126056b93b8c3940134d41b706634e4a,9,8,0,0,0,1,0,13,9f4d43bad92103a1a10c7950ad6eb808a2bcff245cce49ff0d2092f10a50818e,1,1,1,1,1
24,4700000,3,one_qualified_consequence,reference,initial@0/3:1/1/0/0/0/1;before_consequence@5/8:1/1/5/4294967296/0/1;after_consequence@5/8:1/4/0/4294967296/4294967296/1;last_live@44/47:1/1/9/346608838/4294967296/1;death@45/48:0/0/0/0/0/0,3825063e49d805e47a0d2ba6ddff8b0fdd68f5be72380a2289cdecbccd2be1ef,6,3,1,1,0,1,0,48,c84cec06cbfaf635fc7147c2055c83fb6494ecce7bf9fdfa4f192dcd2a605443,1,1,1,1,1
24,4700000,3,one_qualified_consequence,production,initial@0/3:1/1/0/0/0/1;before_consequence@5/8:1/1/5/4294967296/0/1;after_consequence@5/8:1/4/0/4294967296/4294967296/1;last_live@44/47:1/1/9/346608838/4294967296/1;death@45/48:0/0/0/0/0/0,3825063e49d805e47a0d2ba6ddff8b0fdd68f5be72380a2289cdecbccd2be1ef,6,3,1,1,0,1,0,48,c84cec06cbfaf635fc7147c2055c83fb6494ecce7bf9fdfa4f192dcd2a605443,1,1,1,1,1
25,4700000,3,same_durable_state_same_future,reference,after_consequence@9/52:0/0/0/0/0/0;last_live@48/52:0/0/0/0/0/0;death@49/52:0/0/0/0/0/0,cf003a542ca9630f4c897170eb686bb921c5d10c649b76779afe31b7e9892324,6,3,1,1,0,1,0,52,c84cec06cbfaf635fc7147c2055c83fb6494ecce7bf9fdfa4f192dcd2a605443,1,1,1,1,0
25,4700000,3,same_durable_state_same_future,production,after_consequence@9/52:0/0/0/0/0/0;last_live@48/52:0/0/0/0/0/0;death@49/52:0/0/0/0/0/0,cf003a542ca9630f4c897170eb686bb921c5d10c649b76779afe31b7e9892324,6,3,1,1,0,1,0,52,c84cec06cbfaf635fc7147c2055c83fb6494ecce7bf9fdfa4f192dcd2a605443,1,1,1,1,0
26,4700000,3,wrong_path_modulation,reference,initial@0/3:1/1/0/0/0/1;before_wrong_return@5/8:1/1/5/4294967296/0/1;after_wrong_return@5/8:1/1/5/4294967296/0/1;death@10/13:0/0/0/0/0/0,12b5132f93b7724001d90bd3d966b009fe54e417739d459086ccb7bf967e738a,5,3,1,0,0,1,0,13,95cd5298f886267e105829bc1eafdb7121c74f271a1f59f9d8939cec634aeb5b,1,1,1,1,1
26,4700000,3,wrong_path_modulation,production,initial@0/3:1/1/0/0/0/1;before_wrong_return@5/8:1/1/5/4294967296/0/1;after_wrong_return@5/8:1/1/5/4294967296/0/1;death@10/13:0/0/0/0/0/0,12b5132f93b7724001d90bd3d966b009fe54e417739d459086ccb7bf967e738a,5,3,1,0,0,1,0,13,95cd5298f886267e105829bc1eafdb7121c74f271a1f59f9d8939cec634aeb5b,1,1,1,1,1
27,4700000,3,late_consequence_no_resurrection,reference,initial@0/3:1/1/0/0/0/1;dead_before_return@10/13:0/0/0/0/0/0;after_late_return@11/14:0/0/0/0/0/0,c9914e563dae5f0d7f11a172cf6859e8bc570200b5bbc6085d4d58d2488b4b5f,5,3,1,0,0,1,0,14,0f21dfd9090e2a0afe7312b56cff5e3b2fd1f9dbc5c69d5d015924fae1d27138,1,1,1,1,1
27,4700000,3,late_consequence_no_resurrection,production,initial@0/3:1/1/0/0/0/1;dead_before_return@10/13:0/0/0/0/0/0;after_late_return@11/14:0/0/0/0/0/0,c9914e563dae5f0d7f11a172cf6859e8bc570200b5bbc6085d4d58d2488b4b5f,5,3,1,0,0,1,0,14,0f21dfd9090e2a0afe7312b56cff5e3b2fd1f9dbc5c69d5d015924fae1d27138,1,1,1,1,1
