case_id,root,phase,family,mechanics,states,measures,drive,modulation,fires,resistance_events,coupling_events,qlp,crossings,proposals,deallocations,physical_work,final_tick,trace_hash,body_hash,live_hash,quiescent,replay_equal,mechanics_equal,predicate_pass,case_pass
23,5500000,2,prompt_consequence,reference,1/100003/2/4294967296/4294967296,4294967296,3,1,2,1,1,0,0,0,0,5,2,90028dff43f5127fc541d485a78e45a64e424785db3913427ea14903b4fd20e0,0e35cd260bb3a0e50547bc50f1e16ff26cfc5de6079cdb429971444a238bfc56,92003ab30602b13c9cde2432da51086059b047a09eed38e39cab36690acbefc9,true,true,true,true,true
23,5500000,2,prompt_consequence,production,1/100003/2/4294967296/4294967296,4294967296,3,1,2,1,1,0,0,0,0,5,2,90028dff43f5127fc541d485a78e45a64e424785db3913427ea14903b4fd20e0,0e35cd260bb3a0e50547bc50f1e16ff26cfc5de6079cdb429971444a238bfc56,92003ab30602b13c9cde2432da51086059b047a09eed38e39cab36690acbefc9,true,true,true,true,true
24,5500000,2,wrong_and_late,reference,1/99898/1/0/0;1/99898/1/0/0,0|0,6,2,4,0,0,0,0,0,0,8,1028,a0d1f4bd27fc8e6b17eba0c3cccba12fac91b31ae76a8102468bd02cb58b60d9,bc99d5da47f8386745bd1318b30c357f05d9d8ff1cfcfc9997faa50e7e768dca,d362a7986ff4e5dfed5090bd284e38f783c81f5d05f3c15d172ff35d62608c17,true,true,true,true,true
24,5500000,2,wrong_and_late,production,1/99898/1/0/0;1/99898/1/0/0,0|0,6,2,4,0,0,0,0,0,0,8,1028,a0d1f4bd27fc8e6b17eba0c3cccba12fac91b31ae76a8102468bd02cb58b60d9,bc99d5da47f8386745bd1318b30c357f05d9d8ff1cfcfc9997faa50e7e768dca,3728d6ff1077aaf36b8dcd57915ee795e4a873c4eee320b9b25fc3dd7f85440d,true,true,true,true,true
25,5500000,2,graded_magnitude,reference,1/100000/1/1038312161/1979772000;1/100001/2/1038312161/4294967296;1/100001/3/12096372736/12096372736,1979772000|4294967296|12096372736,13,3,8,3,2,0,0,0,0,19,24,96454d46f9bf6a1e21fa11eb5d0658a236863d8c6ee58e0bb8218fa186102a6f,87619ad7609ee9f21e081d9f4bbe02afbfea6a1ff78298a1d3e798b453f9e444,291e3b9d4de26f2e1d21241be1cffbb29425113aee7f9bb40f83c859a1150f7b,true,true,true,true,true
25,5500000,2,graded_magnitude,production,1/100000/1/1038312161/1979772000;1/100001/2/1038312161/4294967296;1/100001/3/12096372736/12096372736,1979772000|4294967296|12096372736,13,3,8,3,2,0,0,0,0,19,24,96454d46f9bf6a1e21fa11eb5d0658a236863d8c6ee58e0bb8218fa186102a6f,87619ad7609ee9f21e081d9f4bbe02afbfea6a1ff78298a1d3e798b453f9e444,97782e587de2e606469646db3987fca58a00098247c17739de0310835f5e4951,true,true,true,true,true
26,5500000,2,repeated_supported,reference,1/99805/4/4294967296/12884901888,2|3|4,9,3,6,3,3,0,0,0,0,15,2050,1fba269721fbf0f69afb403ececdfe881df4cf468ed095a9235ce01341c39c07,a82634eb554ea82e60330c929f489befa8b8188d5abb48fd483e748bac7b131b,1213ae804c51aad2be5519beada7bb229c8d2c430c521e9fa3728ebe3e57d08d,true,true,true,true,true
26,5500000,2,repeated_supported,production,1/99805/4/4294967296/12884901888,2|3|4,9,3,6,3,3,0,0,0,0,15,2050,1fba269721fbf0f69afb403ececdfe881df4cf468ed095a9235ce01341c39c07,a82634eb554ea82e60330c929f489befa8b8188d5abb48fd483e748bac7b131b,1213ae804c51aad2be5519beada7bb229c8d2c430c521e9fa3728ebe3e57d08d,true,true,true,true,true
27,5500000,2,threshold_family,reference,1/99000/1/0/0;1/99106/2/0/4294967296;1/99410/3/0/8589934592;1/99805/1/4294967296/0;1/99805/1/4294967296/0,1|1|1|1,22,3,15,3,3,0,3,0,0,28,10002,1d06f49f2ad98eb52f6adf4e9a95a637298c1ac16bb315fd389f6bc9290f6e2e,235c98574f3fb0b6d7cbc6f4c439f4d5894f11a62d8af74b205cffb752078522,6548561bdce8495fdcf8ecc88890d5d93c16dfc746dbbfa5c8f268cf0daa05db,true,true,true,true,true
27,5500000,2,threshold_family,production,1/99000/1/0/0;1/99106/2/0/4294967296;1/99410/3/0/8589934592;1/99805/1/4294967296/0;1/99805/1/4294967296/0,1|1|1|1,22,3,15,3,3,0,3,0,0,28,10002,1d06f49f2ad98eb52f6adf4e9a95a637298c1ac16bb315fd389f6bc9290f6e2e,235c98574f3fb0b6d7cbc6f4c439f4d5894f11a62d8af74b205cffb752078522,6e7e545e91f889432012cb85eed0ff664f6d1534d98b74e8845a2dde7ec794f9,true,true,true,true,true
28,5500000,2,equal_persistence_efficacy,reference,1/1/1/346608838/0;1/1/2/346608838/0;0/0/1/0/0;0/0/2/0/0,0|1,4,0,3,0,0,0,0,0,0,10,42,8157442b382e18acd634e980fcc05792d43bc00146ea858e3471a6e656d48b20,e75c75621873ca62c710445c28559e573655b107b5d6f2bac719c3aa032a72fa,8f812ff3967532e6a8e17a77f8311938ec5cb50c4d04290b74dda97c4701d190,true,true,true,true,true
28,5500000,2,equal_persistence_efficacy,production,1/1/1/346608838/0;1/1/2/346608838/0;0/0/1/0/0;0/0/2/0/0,0|1,4,0,3,0,0,0,0,0,0,10,42,8157442b382e18acd634e980fcc05792d43bc00146ea858e3471a6e656d48b20,e75c75621873ca62c710445c28559e573655b107b5d6f2bac719c3aa032a72fa,978c86506c88fd9edceb366ddcfb623b08548d53cec67d84c0bdd841d45eacbf,true,true,true,true,true
29,5500000,2,fanout_locality,reference,1/100003/2/4294967296/4294967296;1/100003/2/4294967296/4294967296;1/100000/1/0/0,4294967296|4294967296|0,4,1,2,2,2,0,0,0,0,7,2,055a4b69dbe0ec9cd57faa651e56fb897d40670486e792e98d1c81333921128d,9e9e3f7b9e79e3208cdf5552ffe9d794bce014922b2a31f01bc0791a0a79b41a,e8d69fd7cd07a8df8443a1107943b96ee64e3d373e227620f7075d4da4d0bb6c,true,true,true,true,true
29,5500000,2,fanout_locality,production,1/100003/2/4294967296/4294967296;1/100003/2/4294967296/4294967296;1/100000/1/0/0,4294967296|4294967296|0,4,1,2,2,2,0,0,0,0,7,2,055a4b69dbe0ec9cd57faa651e56fb897d40670486e792e98d1c81333921128d,9e9e3f7b9e79e3208cdf5552ffe9d794bce014922b2a31f01bc0791a0a79b41a,e8d69fd7cd07a8df8443a1107943b96ee64e3d373e227620f7075d4da4d0bb6c,true,true,true,true,true
