seed,mirror,reverse_cells,reverse_arrows,spacing,world,namespace,initial_fingerprint,after_trigger_fingerprint,trigger_firings,b_firings,closure_firings,transient_firings,output_firings,positive_arrivals,negative_arrivals,negative_tick,closure_tick,output_tick,trigger_quiescent,final_quiescent,deallocations,complete_fingerprint,permanent_fingerprint,work,storage,duplicate_exact,passed
11,true,true,false,14,b-stale,0x64c600000,0x9470d12d7d135822,0x5afff301b79958d3,1,1,1,1,1,2,0,-1,2,2,true,true,1,0xfca49851b6cb3f5b,0x37466ecd7a338471,71,496,true,true
12,false,false,true,14,b-absent-through-closure,0x64d000000,0xbcaa3f4e296e0f2a,0xac7d083922626d07,1,0,1,1,1,2,0,-1,2,2,true,true,0,0xa95e948e87bbc00b,0xf7babc222b93f3fa,46,496,true,true
12,false,false,true,14,b-tick-1-after-trigger,0x64d100000,0xfacb58431069ca1a,0xb9326b2ef3434f57,1,1,1,0,0,2,1,1,2,-1,true,true,0,0x36257e3a52e49d61,0xd639d90ffda8ae0a,48,496,true,true
12,false,false,true,14,b-tick-2-before-closure,0x64d200000,0xfc84527be710852d,0xefe3c686a0d598a4,1,1,1,0,0,2,1,2,2,-1,true,true,0,0xbb791e8b1e2e682b,0xdcdbae8d10ca943d,48,496,true,true
12,false,false,true,14,b-tick-2-after-closure,0x64d300000,0xff6c36d5fddec04e,0xcfffd77ee082287,1,1,1,1,1,2,1,2,2,2,true,true,0,0x7d3de05b4f7e11a,0x3fd414685c30f7db,66,496,true,true
12,false,false,true,14,b-tick-3-after-output,0x64d400000,0x72dc8cde0eebeda0,0x59a696197948d0bd,1,1,1,1,1,2,1,3,2,2,true,true,0,0xd2532a4d50a04fa8,0x64eb6d0db641f9,66,496,true,true
12,false,false,true,14,b-blocked,0x64d500000,0xd3d0a4be7fa6c75,0xf726bb1079c3eca4,1,1,1,1,1,2,0,-1,2,2,true,true,0,0x9f43b6d34f48a035,0xcb5a7b247642caa5,57,496,true,true
12,false,false,true,14,b-stale,0x64d600000,0x784c26229f6c65a3,0xf4097ac655a873da,1,1,1,1,1,2,0,-1,2,2,true,true,1,0x8b448190c9b84ace,0xb4639d1c646171f4,71,496,true,true
13,true,false,true,14,b-absent-through-closure,0x64e000000,0x81eb8132a9577131,0x1333cffc2dcc5b2c,1,0,1,1,1,2,0,-1,2,2,true,true,0,0xd01b9e70bcb0ba90,0xd5f20aa2e72fdf11,46,496,true,true
13,true,false,true,14,b-tick-1-after-trigger,0x64e100000,0x2f50a3338bef0c61,0x1d85b5d797a23ebc,1,1,1,0,0,2,1,1,2,-1,true,true,0,0xa6abb22e76db5192,0x7565c62f98dacfe1,47,496,true,true
13,true,false,true,14,b-tick-2-before-closure,0x64e200000,0x5a607fa2ad3f971e,0x18c960871dfba14f,1,1,1,0,0,2,1,2,2,-1,true,true,0,0x6f243f1d39f81e30,0x3ee4f78db3ccf97e,48,496,true,true
13,true,false,true,14,b-tick-2-after-closure,0x64e300000,0x29cdbe8788018691,0xce727f9319404ed8,1,1,1,1,1,2,1,2,2,2,true,true,0,0x481d94a9d659aa31,0xfefae98d036a4028,66,496,true,true
