stage,seed,productive_route,maturation,schedule,budget,realized_0,realized_1,returned_0,returned_1,live_0,live_1,m6_obs_0,m6_obs_1,m6_support_0,m6_support_1,m6_margin_0,m6_margin_1,m6_eligible_0,m6_eligible_1,m5_support_0,m5_support_1,m5_rejection_0,m5_rejection_1,m5_score_0,m5_score_1,abstentions,applications,independent_0,independent_1,edge,reversed
MICRO,1710000000,0,16,E1-paired,1024,398,1650,398,1650,1,4,414,1650,199,1650,0,1650,false,true,16,1621,370,3,-354,1618,54,2010,0,8,none,true
MICRO,1710000000,0,16,E1-paired,10000,398,19602,398,19602,1,4,414,19602,199,19602,0,19602,false,true,16,19573,370,3,-354,19570,54,19962,0,8,none,true
MICRO,1710000000,0,16,E1-paired,30000,398,59602,398,59602,1,4,414,59602,199,59602,0,59602,false,true,16,59573,370,3,-354,59570,54,59962,0,8,none,true
MICRO,1710000000,0,24,E0-B-only,0,0,0,0,0,4,4,24,0,24,0,24,0,true,false,21,0,0,0,21,0,3,21,4,4,execution edge,false
MICRO,1710000000,0,24,E0-B-only,4,0,4,0,4,4,4,24,4,24,4,24,4,true,true,21,0,0,3,21,-3,4,24,4,4,credit edge,false
MICRO,1710000000,0,24,E0-B-only,16,0,16,0,16,4,1,24,16,24,16,24,16,true,true,21,0,0,3,21,-3,16,24,8,0,credit edge,false
MICRO,1710000000,0,24,E0-B-only,64,0,64,0,64,4,1,24,64,24,64,24,64,true,true,21,0,0,3,21,-3,64,24,8,0,credit edge,false
MICRO,1710000000,0,24,E0-B-only,1024,0,1024,0,1024,4,1,24,1024,24,1024,24,1024,true,true,21,0,0,3,21,-3,1024,24,8,0,credit edge,false
MICRO,1710000000,0,24,E0-B-only,10000,0,10000,0,10000,4,1,24,10000,24,10000,24,10000,true,true,21,0,0,3,21,-3,10000,24,8,0,credit edge,false
MICRO,1710000000,0,24,E1-paired,0,0,0,0,0,4,4,24,0,24,0,24,0,true,false,21,0,0,0,21,0,3,21,4,4,execution edge,false
MICRO,1710000000,0,24,E1-paired,4,4,4,4,4,4,4,28,4,24,4,22,4,true,true,24,0,0,3,24,-3,5,27,4,4,credit edge,false
MICRO,1710000000,0,24,E1-paired,16,16,16,16,16,4,1,40,16,24,16,16,16,true,true,24,0,0,3,24,-3,29,27,8,0,credit edge,false
MICRO,1710000000,0,24,E1-paired,64,64,64,64,64,4,4,88,64,32,64,0,64,false,true,24,19,20,3,4,16,86,66,4,4,none,false
MICRO,1710000000,0,24,E1-paired,1024,618,1430,618,1430,1,4,642,1430,309,1430,0,1430,false,true,24,1385,574,3,-550,1382,86,1986,0,8,none,true
MICRO,1710000000,0,24,E1-paired,10000,618,19382,618,19382,1,4,642,19382,309,19382,0,19382,false,true,24,19337,574,3,-550,19334,86,19938,0,8,none,true
MICRO,1710000000,0,32,E0-B-only,0,0,0,0,0,4,4,32,0,32,0,32,0,true,false,29,0,0,0,29,0,3,29,4,4,execution edge,false
MICRO,1710000000,0,32,E0-B-only,4,0,4,0,4,4,4,32,4,32,4,32,4,true,true,29,0,0,3,29,-3,4,32,4,4,credit edge,false
MICRO,1710000000,0,32,E0-B-only,16,0,16,0,16,4,1,32,16,32,16,32,16,true,true,29,0,0,3,29,-3,16,32,8,0,credit edge,false
MICRO,1710000000,0,32,E0-B-only,64,0,64,0,64,4,1,32,64,32,64,32,64,true,true,29,0,0,3,29,-3,64,32,8,0,credit edge,false
MICRO,1710000000,0,32,E0-B-only,1024,0,1024,0,1024,4,1,32,1024,32,1024,32,1024,true,true,29,0,0,3,29,-3,1024,32,8,0,credit edge,false
MICRO,1710000000,0,32,E0-B-only,10000,0,10000,0,10000,4,1,32,10000,32,10000,32,10000,true,true,29,0,0,3,29,-3,10000,32,8,0,credit edge,false
MICRO,1710000000,0,32,E0-B-only,60000,0,60000,0,60000,4,1,32,60000,32,60000,32,60000,true,true,29,0,0,3,29,-3,60000,32,8,0,credit edge,false
MICRO,1710000000,0,32,E1-paired,0,0,0,0,0,4,4,32,0,32,0,32,0,true,false,29,0,0,0,29,0,3,29,4,4,execution edge,false
MICRO,1710000000,0,32,E1-paired,4,4,4,4,4,4,1,36,4,32,4,30,4,true,true,32,0,0,3,32,-3,5,35,8,0,credit edge,false
MICRO,1710000000,0,32,E1-paired,16,16,16,16,16,4,1,48,16,32,16,24,16,true,true,32,0,0,3,32,-3,29,35,8,0,credit edge,false
MICRO,1710000000,0,32,E1-paired,64,64,64,64,64,4,1,96,64,32,64,0,64,false,true,32,3,4,3,28,0,118,42,8,0,formation edge,false
MICRO,1710000000,0,32,E1-paired,1024,838,1210,838,1210,1,4,870,1210,419,1210,0,1210,false,true,32,1149,778,3,-746,1146,118,1962,0,8,none,true
MICRO,1710000000,0,32,E1-paired,10000,838,19162,838,19162,1,4,870,19162,419,19162,0,19162,false,true,32,19101,778,3,-746,19098,118,19914,0,8,none,true
MICRO,1710000000,0,32,E1-paired,30000,838,59162,838,59162,1,4,870,59162,419,59162,0,59162,false,true,32,59101,778,3,-746,59098,118,59914,0,8,none,true
MICRO,1710000000,0,64,E0-B-only,0,0,0,0,0,4,1,64,0,64,0,64,0,true,false,61,0,0,0,61,0,3,61,8,0,execution edge,false
MICRO,1710000000,0,64,E0-B-only,4,0,4,0,4,4,1,64,4,64,4,64,4,true,true,61,0,0,3,61,-3,4,64,8,0,credit edge,false
MICRO,1710000000,0,64,E0-B-only,16,0,16,0,16,4,1,64,16,64,16,64,16,true,true,61,0,0,3,61,-3,16,64,8,0,credit edge,false
MICRO,1710000000,0,64,E0-B-only,64,0,64,0,64,4,1,64,64,64,64,64,64,true,true,61,0,0,3,61,-3,64,64,8,0,credit edge,false
MICRO,1710000000,0,64,E0-B-only,1024,0,1024,0,1024,4,1,64,1024,64,1024,64,1024,true,true,61,0,0,3,61,-3,1024,64,8,0,credit edge,false
MICRO,1710000000,0,64,E0-B-only,10000,0,10000,0,10000,4,1,64,10000,64,10000,64,10000,true,true,61,0,0,3,61,-3,10000,64,8,0,credit edge,false
MICRO,1710000000,0,64,E1-paired,0,0,0,0,0,4,1,64,0,64,0,64,0,true,false,61,0,0,0,61,0,3,61,8,0,execution edge,false
MICRO,1710000000,0,64,E1-paired,4,4,4,4,4,4,1,68,4,64,4,62,4,true,true,64,0,0,3,64,-3,5,67,8,0,credit edge,false
MICRO,1710000000,0,64,E1-paired,16,16,16,16,16,4,1,80,16,64,16,56,16,true,true,64,0,0,3,64,-3,29,67,8,0,credit edge,false
MICRO,1710000000,0,64,E1-paired,64,64,64,64,64,4,1,128,64,64,64,32,64,true,true,64,0,0,3,64,-3,125,67,8,0,credit edge,false
MICRO,1710000000,0,64,E1-paired,1024,1024,1024,1024,1024,4,4,1088,1024,512,1024,0,1024,false,true,64,899,900,3,-836,896,246,1866,4,4,none,false
MICRO,1710000000,0,64,E1-paired,10000,1718,18282,1718,18282,1,4,1782,18282,859,18282,0,18282,false,true,64,18157,1594,3,-1530,18154,246,19818,0,8,none,true
