original_category,primary_kind,layer,path,line,match,semantic_risk,evaluator_input_risk,source_line
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",645,"event(seed",0,1,"            let target = event(seed + 142_000, 70).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",653,"event(seed",0,1,"                let load_target = event(seed + 151_000 + index as u64, 71).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",655,"event(seed",0,1,"                    life.observe(event(seed + 152_000 + ordinal as u64, 80 + ordinal).0);"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",660,"event(seed",0,1,"                    !life.available(&event(seed + 153_000 + ordinal as u64, 80 + ordinal).0)"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",666,"event(seed",0,1,"            let gap_key = event(seed + 160_900, 72).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",677,"event(seed",0,1,"            let removed_key = event(seed + 163_900, 73).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",683,"event_len(seed",0,1,"            let old_key = event_len(seed + 170_000, 74, 3).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",684,"event_len(seed",0,1,"            let changed_key = event_len(seed + 170_001, 74, 2).0;"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",687,"event_len(seed",0,1,"                old_base.observe(event_len(seed + 171_000 + ordinal, 74, 3).0);"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",695,"event_len(seed",0,1,"                    branch.observe(event_len(seed + 172_000 + ordinal as u64, 74, 2).0);"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",699,"event_len(seed",0,1,"                contradiction_history &= !branch.available(&event_len(seed + 173_000, 74, 4).0);"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",702,"event_len(seed",0,1,"                    branch.observe(event_len(seed + 174_000, 74, 3).0);"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",711,"event(seed",0,1,"                event(seed ^ 0xa5a5_0000, relation).1"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",712,"event(seed",0,1,"                    && event(seed ^ 0x5a5a_0000, relation).0 == event(seed, relation).0"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",712,"event(seed",0,1,"                    && event(seed ^ 0x5a5a_0000, relation).0 == event(seed, relation).0"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",716,"event(seed",0,1,"                keep_all.observe(event(seed + 180_000 + relation as u64, relation).0);"
"seed_built_development","seed_history_synthesis","PX4","src/ds6_cumulative_lifetime_probe.rs",720,"event(seed",0,1,"                shuffled.observe(event(seed + 181_000 + relation as u64, relation).0);"
"seed_built_development","seed_history_synthesis","PX5","src/ds7_cumulative_plasticity_allocation_gate.rs",278,"route(seed, seed",0,1,"        let route = route(seed, seed % 1_000_000 != 0);"
"seed_built_development","seed_history_synthesis","PX5","src/ds7_cumulative_plasticity_allocation_gate.rs",279,"distractors(seed, load, seed",0,1,"        let distractors = distractors(seed, load, seed % 1_000_000 == 0);"
"seed_built_development","seed_history_synthesis","PX5","src/ds7_cumulative_plasticity_allocation_gate.rs",67,"route(seed",0,1,"    fn route(seed: u64, reverse_layout: bool) -> Vec<PhysicalEncounter> {"
"seed_built_development","seed_history_synthesis","PX5","src/ds7_cumulative_plasticity_allocation_gate.rs",80,"distractors(seed",0,1,"    fn distractors(seed: u64, load: usize, reverse_layout: bool) -> Vec<PhysicalEncounter> {"
"seed_built_development","seed_history_synthesis","PX6","src/ds8_cumulative_semantic_credit_gate.rs",132,"route(seed",0,1,"    fn route(seed: u64, reverse_layout: bool) -> Vec<PhysicalEncounter> {"
"seed_built_development","seed_history_synthesis","PX6","src/ds8_cumulative_semantic_credit_gate.rs",145,"distractors(seed",0,1,"    fn distractors(seed: u64, load: usize, reverse_layout: bool) -> Vec<PhysicalEncounter> {"
"seed_built_development","seed_history_synthesis","PX6","src/ds8_cumulative_semantic_credit_gate.rs",181,"route(seed",0,1,"        let route = route(seed, reverse_layout);"
"seed_built_development","seed_history_synthesis","PX6","src/ds8_cumulative_semantic_credit_gate.rs",182,"distractors(seed",0,1,"        let distractors = distractors(seed, load, !reverse_layout);"
"seed_built_development","semantic_condition","PX6","src/ds8_cumulative_semantic_credit_gate.rs",204,"raw_consequence(seed",0,1,"                    raw_consequence(seed + 100_000, sweep * (load + 4) + index, variant),"
"seed_built_development","semantic_condition","PX6","src/ds8_cumulative_semantic_credit_gate.rs",220,"raw_consequence(seed",0,1,"                    raw_consequence(seed + 200_000, sweep * (load + 4) + load + index, variant),"
"seed_built_development","semantic_condition","PX6","src/ds8_cumulative_semantic_credit_gate.rs",244,"raw_consequence(seed",0,1,"                    raw_consequence(seed + 300_000, sweep * 5, varying_variant(sweep)),"
"seed_built_development","semantic_condition","PX6","src/ds8_cumulative_semantic_credit_gate.rs",252,"raw_consequence(seed",0,1,"                        raw_consequence(seed + 300_000, sweep * 5 + index + 1, stable_variant),"
"seed_built_development","semantic_condition","PX6","src/ds8_cumulative_semantic_credit_gate.rs",428,"raw_consequence(seed + 900_000, 0, (seed",0,1,"                raw_consequence(seed + 900_000, 0, (seed as usize / 500_000) % 4),"
