seed,stratum,scenario,namespace,schedule_class,arrival_order,first_use_delay,o1_first_observed_dead_wait,correspondence_resistance,directional_live_paths,directional_min_resistance,directional_max_resistance,training_continuation_firings,training_consequence_firings,training_trace_arrivals,training_trace_firings,training_local_returns,training_effects,training_distractor_firings,training_source_refiring,heldout_continuation_firings,heldout_consequence_firings,heldout_trace_arrivals,heldout_trace_firings,heldout_local_returns,heldout_effects,postgap_effects,heldout_source_refiring,postgap_source_refiring,training_quiescent,heldout_quiescent,postgap_quiescent,work,fingerprint,duplicate_exact,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,passed
7,G3,adversarial-correlation-reverse-traversal,0x5b8000000,reverse*24,reverse,21,30,45|45,0|4,0|40,0|40,0|24,72|24,144|96,72|24,72|24,72|24,1152,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,395540,16351477282859645541,true,true,true,true,true,true,true,true,true,true,true,true
8,G0,forward-participation,0x5c2000000,forward*24,normal,18,30,46|46,1|0,41|0,41|0,24|0,24|24,48|48,24|24,24|24,24|24,0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,22873,13480526875258741690,true,true,true,true,true,true,true,true,true,true,true,true
8,G0,reverse-participation,0x5c3000000,reverse*24,normal,18,30,46|46,0|1,0|41,0|41,0|24,24|24,48|48,24|24,24|24,24|24,0,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,22873,15382720760908152940,true,true,true,true,true,true,true,true,true,true,true,true
8,G0,correlation-only,0x5c4000000,no-traversal*24,normal,18,30,46|46,0|0,0|0,0|0,0|0,24|24,48|48,24|24,24|24,24|24,0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,21187,2998948638790877190,true,true,true,true,true,true,true,true,true,true,true,true
8,G0,participation-without-return,0x5c5000000,forward*24,normal,18,30,46|46,0|0,0|0,0|0,24|0,1|24,1|24,0|0,0|0,1|24,0,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,16174,7063147169580483531,true,true,true,true,true,true,true,true,true,true,true,true
8,G0,joint-participation,0x5c6000000,joint*24,normal,18,30,46|46,1|1,41|41,41|41,24|24,24|24,48|48,24|24,24|24,24|24,0,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,24814,15720708623660754170,true,true,true,true,true,true,true,true,true,true,true,true
8,G0,adversarial-correlation-forward-traversal,0x5c7000000,forward*24,normal,18,30,46|46,1|0,41|0,41|0,24|0,24|72,96|144,24|72,24|72,24|72,0,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,35070,14510681627332179199,true,true,true,true,true,true,true,true,true,true,true,true
8,G0,adversarial-correlation-reverse-traversal,0x5c8000000,reverse*24,normal,18,30,46|46,0|1,0|41,0|41,0|24,72|24,144|96,72|24,72|24,72|24,0,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,35118,18390549036229855557,true,true,true,true,true,true,true,true,true,true,true,true
9,G1,forward-participation,0x5d2000000,forward*24,reverse,19,30,46|46,2|0,41|0,41|0,24|0,24|24,48|48,24|24,24|24,24|24,192,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,52031,3617469544666260326,true,true,true,true,true,true,true,true,true,true,true,true
9,G1,reverse-participation,0x5d3000000,reverse*24,reverse,19,30,46|46,0|2,0|41,0|41,0|24,24|24,48|48,24|24,24|24,24|24,192,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,52031,4888465987075818586,true,true,true,true,true,true,true,true,true,true,true,true
9,G1,correlation-only,0x5d4000000,no-traversal*24,reverse,19,30,46|46,0|0,0|0,0|0,0|0,24|24,48|48,24|24,24|24,24|24,192,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,49259,13774325623808260909,true,true,true,true,true,true,true,true,true,true,true,true
9,G1,participation-without-return,0x5d5000000,forward*24,reverse,19,30,46|46,0|0,0|0,0|0,24|0,1|24,1|24,0|0,0|0,1|24,192,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,43121,9328260667828101333,true,true,true,true,true,true,true,true,true,true,true,true
9,G1,joint-participation,0x5d6000000,joint*24,reverse,19,30,46|46,2|2,41|41,41|41,24|24,24|24,48|48,24|24,24|24,24|24,192,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,55154,3600412391098733328,true,true,true,true,true,true,true,true,true,true,true,true
9,G1,adversarial-correlation-forward-traversal,0x5d7000000,forward*24,reverse,19,30,45|45,2|0,40|0,40|0,24|0,24|72,96|144,24|72,24|72,24|72,192,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,67478,9756358481385262487,true,true,true,true,true,true,true,true,true,true,true,true
9,G1,adversarial-correlation-reverse-traversal,0x5d8000000,reverse*24,reverse,19,30,45|45,0|2,0|40,0|40,0|24,72|24,144|96,72|24,72|24,72|24,192,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,67526,7923434342544348349,true,true,true,true,true,true,true,true,true,true,true,true
10,G2,forward-participation,0x5e2000000,forward*24,normal,20,30,46|46,3|0,41|0,41|0,24|0,24|24,48|48,24|24,24|24,24|24,576,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,143951,15408826852429745662,true,true,true,true,true,true,true,true,true,true,true,true
10,G2,reverse-participation,0x5e3000000,reverse*24,normal,20,30,46|46,0|3,0|41,0|41,0|24,24|24,48|48,24|24,24|24,24|24,576,0,1|1,0|1,1|2,0|1,0|1,0|1,0|1,0,0,true,true,true,143951,10974735095867326198,true,true,true,true,true,true,true,true,true,true,true,true
10,G2,correlation-only,0x5e4000000,no-traversal*24,normal,20,30,46|46,0|0,0|0,0|0,0|0,24|24,48|48,24|24,24|24,24|24,576,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,139637,16278997676513172742,true,true,true,true,true,true,true,true,true,true,true,true
10,G2,participation-without-return,0x5e5000000,forward*24,normal,20,30,46|46,0|0,0|0,0|0,24|0,1|24,1|24,0|0,0|0,1|24,576,0,1|1,0|0,0|0,0|0,0|0,0|0,0|0,0,0,true,true,true,131051,17904264598951156751,true,true,true,true,true,true,true,true,true,true,true,true
10,G2,joint-participation,0x5e6000000,joint*24,normal,20,30,46|46,3|3,41|41,41|41,24|24,24|24,48|48,24|24,24|24,24|24,576,0,1|1,1|1,2|2,1|1,1|1,1|1,1|1,0,0,true,true,true,148760,12658726703781172561,true,true,true,true,true,true,true,true,true,true,true,true
10,G2,adversarial-correlation-forward-traversal,0x5e7000000,forward*24,normal,20,30,45|45,3|0,40|0,40|0,24|0,24|72,96|144,24|72,24|72,24|72,576,0,1|1,1|0,2|1,1|0,1|0,1|0,1|0,0,0,true,true,true,165341,6874476123800151411,true,true,true,true,true,true,true,true,true,true,true,true
