stage,seed,depth,history,states,physical_sides,handles,complete,structurally_valid,naturally_quiescent,duplicate_exact,one_propagation,permanent_fingerprint,start_fingerprint,trace_fingerprint,end_fingerprint,work,cell_distinct,cell_trace_distinct,cell_passed
MICRO,2210000002,16,16,0132020132320131,0000100001000010,1111011110111101,true,true,true,true,true,5720778510040213613,3548573167356064196,4011350125810263743,10526245199282380489,277962,32,32,true
MICRO,2210000002,16,17,0201310132313202,1000110001100011,0111001110011100,true,true,true,true,true,5720778510040213613,7744674326744160088,7733673747446773043,4727834471932501581,277962,32,32,true
MICRO,2210000002,16,18,0101313132323202,0100101001010010,1011010110101101,true,true,true,true,true,5720778510040213613,9556296273408649408,11585349475038840796,1717166607166382853,277956,32,32,true
MICRO,2210000002,16,19,0232023132310131,1100111001110011,0011000110001100,true,true,true,true,true,5720778510040213613,5686194165770548964,12922155906961056056,17542087113417726973,277956,32,32,true
MICRO,2210000002,16,20,0131313232320202,0010100101001010,1101011010110101,true,true,true,true,true,5720778510040213613,3593547400803007024,9356949335621838115,15596149362692795393,277954,32,32,true
MICRO,2210000002,16,21,0202023232313131,1010110101101011,0101001010010100,true,true,true,true,true,5720778510040213613,10810175981770076628,14880834275087234427,11854942898895996325,277954,32,32,true
MICRO,2210000002,16,22,0102020232323131,0110101101011010,1001010010100101,true,true,true,true,true,5720778510040213613,13790972678977564060,11740499683379502639,8352169650068200917,277960,32,32,true
MICRO,2210000002,16,23,0231310232310202,1110111101111011,0001000010000100,true,true,true,true,true,5720778510040213613,4616207701995331856,16686984404901724443,6413918210198800717,277960,32,32,true
MICRO,2210000002,16,24,0132313202320102,0001100011000110,1110011100111001,true,true,true,true,true,5720778510040213613,7890700416126500500,13184996549253410750,9908813401107074953,277960,32,32,true
MICRO,2210000002,16,25,0201023202313231,1001110011100111,0110001100011000,true,true,true,true,true,5720778510040213613,1369247756891097144,15268001301266642804,9316140926905533941,277960,32,32,true
MICRO,2210000002,16,26,0101020202323231,0101101011010110,1010010100101001,true,true,true,true,true,5720778510040213613,1318637571520048208,17944875714730359348,11291372121781776053,277966,32,32,true
MICRO,2210000002,16,27,0232310202310102,1101111011110111,0010000100001000,true,true,true,true,true,5720778510040213613,12601621312469432004,11236628384831659274,15803106916969606517,277966,32,32,true
MICRO,2210000002,16,28,0131020102320231,0011100111001110,1100011000110001,true,true,true,true,true,5720778510040213613,11494483234040217328,12695843915108229988,14978191397175889481,277968,32,32,true
MICRO,2210000002,16,29,0202310102313102,1011110111101111,0100001000010000,true,true,true,true,true,5720778510040213613,17054240265502501540,6432535158710412450,9147446294020245077,277968,32,32,true
MICRO,2210000002,16,30,0102313102323102,0111101111011110,1000010000100001,true,true,true,true,true,5720778510040213613,16931570420098571548,15694325796990555993,12684883433881916941,277962,32,32,true
MICRO,2210000002,16,31,0231023102310231,1111111111111111,0000000000000000,true,true,true,true,true,5720778510040213613,3480948673931437504,16074225115010282755,9784076722941479085,277962,32,32,true
MICRO,2210000003,16,0,0132013201320132,0000000000000000,0000000000000000,true,true,true,true,true,13834533517799840061,16536581442286163207,16128609948663498472,16732989776532277879,277962,32,32,true
MICRO,2210000003,16,1,0201323201313201,1000010000100001,1000010000100001,true,true,true,true,true,13834533517799840061,5548487429547331667,5973260847445903301,5504072234484270251,277962,32,32,true
MICRO,2210000003,16,2,0101320201323201,0100001000010000,0100001000010000,true,true,true,true,true,13834533517799840061,12611484698409852299,2797123940273092148,17040597124191454275,277968,32,32,true
MICRO,2210000003,16,3,0232010201310132,1100011000110001,1100011000110001,true,true,true,true,true,13834533517799840061,8889946732221927591,8085887480350148292,8822250261121080335,277968,32,32,true
MICRO,2210000003,16,4,0131320101320201,0010000100001000,0010000100001000,true,true,true,true,true,13834533517799840061,12116869488234357259,18358788774700739604,8135397697926231191,277970,32,32,true
MICRO,2210000003,16,5,0202010101313132,1010010100101001,1010010100101001,true,true,true,true,true,13834533517799840061,12151855153675237639,15956168875018213423,3785675336027833195,277970,32,32,true
MICRO,2210000003,16,6,0102013101323132,0110001100011000,0110001100011000,true,true,true,true,true,13834533517799840061,8137254515031173855,11093130977655621871,17677439848318340099,277964,32,32,true
MICRO,2210000003,16,7,0231323101310201,1110011100111001,1110011100111001,true,true,true,true,true,13834533517799840061,11659465037938051051,9668507009082517789,1362736848027835183,277964,32,32,true
MICRO,2210000003,16,8,0132320131320101,0001000010000100,0001000010000100,true,true,true,true,true,13834533517799840061,3142371571415109043,5028966755455823003,4354479455625289975,277964,32,32,true
MICRO,2210000003,16,9,0201010131313232,1001010010100101,1001010010100101,true,true,true,true,true,13834533517799840061,13087848343516448063,6141664913512911135,4248430433833665531,277964,32,32,true
MICRO,2210000003,16,10,0101013131323232,0101001010010100,0101001010010100,true,true,true,true,true,13834533517799840061,1853315146377648615,1971494859724883315,1000384396043083523,277958,32,32,true
MICRO,2210000003,16,11,0232323131310101,1101011010110101,1101011010110101,true,true,true,true,true,13834533517799840061,9210923167391293699,3811411699576479518,17021058629705711,277958,32,32,true
MICRO,2210000003,16,12,0131013231320232,0011000110001100,0011000110001100,true,true,true,true,true,13834533517799840061,9418529778165554023,3597395266676428467,6981646829156095047,277956,32,32,true
MICRO,2210000003,16,13,0202323231313101,1011010110101101,1011010110101101,true,true,true,true,true,13834533517799840061,496061472455816963,17780070955746433429,12401190119470613371,277956,32,32,true
MICRO,2210000003,16,14,0102320231323101,0111001110011100,0111001110011100,true,true,true,true,true,13834533517799840061,2620822691609806219,4646204603322409568,16113015599488348211,277962,32,32,true
MICRO,2210000003,16,15,0231010231310232,1111011110111101,1111011110111101,true,true,true,true,true,13834533517799840061,4748333613248745431,12426351981104000367,14858694079105586895,277962,32,32,true
MICRO,2210000003,16,16,0132020132320131,0000100001000010,0000100001000010,true,true,true,true,true,13834533517799840061,8561057129993604279,4426218891604666950,4458239646911183231,277962,32,32,true
MICRO,2210000003,16,17,0201310132313202,1000110001100011,1000110001100011,true,true,true,true,true,13834533517799840061,9908310456714731123,2151353354542562482,1438970926722266083,277962,32,32,true
MICRO,2210000003,16,18,0101313132323202,0100101001010010,0100101001010010,true,true,true,true,true,13834533517799840061,842687077099388315,5841573259789051146,1879237151359819227,277956,32,32,true
MICRO,2210000003,16,19,0232023132310131,1100111001110011,1100111001110011,true,true,true,true,true,13834533517799840061,15996776804281691879,4278869433763105583,18102510217398228967,277956,32,32,true
MICRO,2210000003,16,20,0131313232320202,0010100101001010,0010100101001010,true,true,true,true,true,13834533517799840061,3125832480652061579,1306765539208791158,16699132434938537279,277954,32,32,true
MICRO,2210000003,16,21,0202023232313131,1010110101101011,1010110101101011,true,true,true,true,true,13834533517799840061,8996672011543591351,18361662723931226100,15675750506207445891,277954,32,32,true
MICRO,2210000003,16,22,0102020232323131,0110101101011010,0110101101011010,true,true,true,true,true,13834533517799840061,10023615995200484095,13981762135395982781,17914872507640155963,277960,32,32,true
MICRO,2210000003,16,23,0231310232310202,1110111101111011,1110111101111011,true,true,true,true,true,13834533517799840061,2153487982953408315,1686282402635253462,15353628529208207207,277960,32,32,true
MICRO,2210000003,16,24,0132313202320102,0001100011000110,0001100011000110,true,true,true,true,true,13834533517799840061,10658106806374541027,3609917200375811393,18012249577808874023,277960,32,32,true
MICRO,2210000003,16,25,0201023202313231,1001110011100111,1001110011100111,true,true,true,true,true,13834533517799840061,14282583608377121183,11896432308145633036,3893583158066545931,277960,32,32,true
MICRO,2210000003,16,26,0101020202323231,0101101011010110,0101101011010110,true,true,true,true,true,13834533517799840061,3748247003948033271,8260182891672712609,8242800507981568259,277966,32,32,true
MICRO,2210000003,16,27,0232310202310102,1101111011110111,1101111011110111,true,true,true,true,true,13834533517799840061,14386842839690011907,8273653030232279801,2899852227953019647,277966,32,32,true
MICRO,2210000003,16,28,0131020102320231,0011100111001110,0011100111001110,true,true,true,true,true,13834533517799840061,17164582925336661991,6253410163857479741,11738005576496663079,277968,32,32,true
MICRO,2210000003,16,29,0202310102313102,1011110111101111,1011110111101111,true,true,true,true,true,13834533517799840061,4357494196448285875,5006456128218070338,301600269967093819,277968,32,32,true
MICRO,2210000003,16,30,0102313102323102,0111101111011110,0111101111011110,true,true,true,true,true,13834533517799840061,8154617415988926379,16509885079185425998,10749337871354808451,277962,32,32,true
MICRO,2210000003,16,31,0231023102310231,1111111111111111,1111111111111111,true,true,true,true,true,13834533517799840061,17950396107284580775,3189681579086381944,11084878883463719183,277962,32,32,true
