row_id,stage,family,spec_fingerprint,b_effect,e_effect,prediction_diff,b_false_conjunction,e_false_conjunction,b_row_pass,e_row_pass,b_work,e_work,b_persistent_bytes,e_persistent_bytes,b_quiescent,e_quiescent
f2-two-weak-same-s101-m0-r0-t2-c2-l0-d0-tr0-a2,probe,amplitude_vs_multiplicity,1153640387610088421,1,1,false,true,true,false,false,21,19,160,160,true,true
f2-asymmetric-distinct-s101-m0-r0-t2-c2-l0-d0-tr0-a2,probe,amplitude_vs_multiplicity,1744979866786974708,1,1,false,false,false,true,true,21,19,160,160,true,true
f3-direct-return-s101-m0-r0-t2-c2-l0-d0-tr0-a2,probe,dense_return_topology,1405546278328187754,1,1,false,false,false,true,true,72,49,384,384,true,true
f3-crossed-return-s101-m0-r0-t2-c2-l0-d0-tr0-a2,probe,dense_return_topology,11049309660003716482,1,1,false,false,false,true,true,72,49,384,384,true,true
f3-no-return-s101-m0-r0-t2-c2-l0-d0-tr0-a2,probe,dense_return_topology,7965376278410864306,1,1,false,false,false,true,true,40,35,384,384,true,true
f3-direct-return-s101-m0-r0-t2-c2-l0-d0-tr0-a6,probe,dense_return_topology,2164426268170114970,1,1,false,false,false,true,true,96,65,832,832,true,true
f3-crossed-return-s101-m0-r0-t2-c2-l0-d0-tr0-a6,probe,dense_return_topology,13157491167012271922,1,1,false,false,false,true,true,96,65,832,832,true,true
f3-no-return-s101-m0-r0-t2-c2-l0-d0-tr0-a6,probe,dense_return_topology,13039157030662735250,1,1,false,false,false,true,true,52,47,832,832,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d-1-tr0-a2,probe,timing_transfer,8668224354347884434,1,1,false,false,false,false,false,37,31,272,272,true,true
f4-transfer-s101-m0-r0-t2-c2-l0-d0-tr0-a2,probe,timing_transfer,9890351921436515845,1,1,false,false,false,true,true,35,30,272,272,true,true
