row_type,protocol,stage,claim_eligible,M6_authoritative,M7_exists,family,condition,variant,target,target_supporters,competitor_supporters,winner,expected_winner,commitment_tick,duplicate_exact,permanent_fingerprint,start_fingerprint,trace_fingerprint,end_fingerprint,work,status,classification
case,ssa0-3-precommit-support-v1,GATE,false,true,false,strength,double_early,fresh_alloc_layout,0,5,4,0,0,6,true,9c7d4620f6dc9907,38829db11db7f2cc,7f15d5c4b345b4a3,04b65fb0ccb37a3e,464,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,strength,unit_late,fresh_alloc_layout,0,5,4,1,1,7,true,69763141b1db06c2,1cd1b91cea28de71,9c31abad75ffce62,bd89286a79ccca44,460,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,strength,double_late,fresh_alloc_layout,0,5,4,1,1,7,true,e2aa787d98d97e53,80cfd991af1a7058,938830ad7117cfb7,560b1ab34ef88fc8,460,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,spread_early,fresh_alloc_layout,0,6,4,0,0,6,true,aee50d27aa44f7a0,1732e2cdc31176d7,7f6e5b3dba053fb0,9afd41aacffe516b,543,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,near_early,fresh_alloc_layout,0,6,4,0,0,6,true,1dc86a39fe01fd47,0140ed42ae67e698,6e0a99778e60ecac,1186334824c07e64,545,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,coincident_early,fresh_alloc_layout,0,6,4,0,0,6,true,8643743eed9fb764,54db3ba47fe84753,74c5218df1f463c4,7a92b06d5ad900cf,546,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,spread_late,fresh_alloc_layout,0,6,4,1,1,7,true,5925ea75019a34d7,63c518917180b1f0,c5042eb940cee6e6,7679917de018b446,539,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,near_late,fresh_alloc_layout,0,6,4,1,1,7,true,2761d3f98eadcd1b,7dbc5cb95e4a0600,921a33b94ec2e582,dd6c67f6a33fdf93,539,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,spacing,coincident_late,fresh_alloc_layout,0,6,4,1,1,7,true,18b1f15638b15d06,d724efd779fa7649,231f223eb3d7cf60,b65d323be5b277be,540,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
case,ssa0-3-precommit-support-v1,GATE,false,true,false,timing,well_before,fresh_alloc_layout,1,5,4,1,1,6,true,1561fe2e43410a71,27e849bc6223e192,1bf6c73583094606,0fa7b5a30e69dc85,460,PASS,A_PRECOMMITMENT_SUPPORT_LAW_POSITIVE
