row_id,stage,family,spec_fingerprint,b_effect,e_effect,prediction_diff,b_false_conjunction,e_false_conjunction,b_row_pass,e_row_pass,b_work,e_work,b_persistent_bytes,e_persistent_bytes,b_quiescent,e_quiescent
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d5-tr0-a2,micro,timing_transfer,15833693973423972047,0,0,false,false,false,true,true,62,66,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d-1-tr2-a2,micro,timing_transfer,13035905883093142735,0,0,false,false,false,true,true,39,54,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d0-tr2-a2,micro,timing_transfer,13916179772717771577,1,1,false,false,false,true,true,60,65,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d1-tr2-a2,micro,timing_transfer,14115445935256768871,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d2-tr2-a2,micro,timing_transfer,8380357960372689345,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d3-tr2-a2,micro,timing_transfer,4891387192275370755,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d4-tr2-a2,micro,timing_transfer,4827350454377655713,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d5-tr2-a2,micro,timing_transfer,16476097191688570671,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d-1-tr4-a2,micro,timing_transfer,17613389186433640683,0,0,false,false,false,true,true,39,54,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d0-tr4-a2,micro,timing_transfer,3510780246209607397,1,1,false,false,false,true,true,60,65,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d1-tr4-a2,micro,timing_transfer,15202819086709326287,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d2-tr4-a2,micro,timing_transfer,4450015146316169133,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d3-tr4-a2,micro,timing_transfer,13425031793796829867,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d4-tr4-a2,micro,timing_transfer,13196426237147545829,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c1-l4-d5-tr4-a2,micro,timing_transfer,8435104177278402567,0,0,false,false,false,true,true,39,53,272,272,true,true
coverage-correction-v2-contemporary-reversal-s1223-m0-r0-t2-c1-l4-d0-tr0-a2,micro,shared_control,17985642429472254705,2,4,true,false,false,false,false,550,853,912,848,true,true
coverage-correction-v2-burst-4-s1223-m0-r0-t2-c2-l0-d1-tr0-a2,micro,same_source_bursts,10899073996015773318,4,2,true,true,true,false,false,140,94,272,272,true,true
coverage-correction-v2-blocked-late-return-s1223-m0-r0-t2-c2-l0-d0-tr0-a6,micro,dense_return_topology,1675394598132330008,1,1,false,false,false,true,true,96,65,832,832,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c2-l0-d-1-tr0-a2,micro,timing_transfer,7123647225573959399,1,1,false,false,false,true,true,107,79,272,272,true,true
coverage-correction-v2-timing-transfer-s1223-m0-r0-t2-c2-l0-d0-tr0-a2,micro,timing_transfer,9276111285759503835,1,1,false,false,false,true,true,105,78,272,272,true,true
